id,name,gender,member_since,year_of_birth,place_of_birth,genres
776,Bernice Rubens,female,January 3 2011,1973,Bosnia,literature-fiction
777,Daniel Abraham,male,April 27 2015,1980,Kiribati,fantasy$science-fiction
778,Christopher Scotton,male,October 19 2019,1984,Ukraine,fiction
779,Angie Sage,female,November 8 2015,1982,Guinea,young-adult
780,Annabel Joseph,female,January 13 2018,1996,Zambia,romance
781,Anne O'Gleadra,female,November 7 2014,1955,Scottish,gay-and-lesbian$fiction
782,Maya Banks,female,June 2 2008,1976,San Marino,romance
783,Missouri Dalton,female,November 17 2015,1977,Emirate,science-fiction-fantasy
784,Nicholas Monsarrat,male,January 13 2011,1979,Vatican,literature-fiction$biography
785,Philippa Gregory,female,November 14 2019,1992,Iceland,literature-fiction
786,Per Petterson,male,August 1 2013,1974,Argentina,literature-fiction
787,Peter Cameron,male,January 1 2009,1992,Latvia,literature-fiction
788,Karen Russell,female,April 17 2009,1984,Tanzania,literature-fiction$short-stories$humor
789,Erin A. Craig,female,October 4 2014,1994,Bahamas,young-adult
790,Lloyd C. Douglas,male,June 19 2011,1963,El Salvador,literature-fiction$religion-spirituality$historical-fiction
791,Ava Lore,female,March 13 2015,1970,Tunisia,ebooks
792,Lynda Chance,male,April 18 2015,1995,Nauru,romance$erotic
793,Sara Poole,female,November 17 2019,1986,Belize,historical-fiction
794,C.J. Ellisson,female,May 5 2012,1954,Moldova,fantasy$mystery-thrillers
795,Linda Kage,female,August 25 2014,1998,Sudan,romance
796,Gloria Naylor,female,May 22 2016,1976,Kosovo,literature-fiction
797,Emma   Louise,male,October 23 2008,1953,Scottish,romance$chick-lit
798,Sarah Dessen,male,September 26 2014,1974,Namibia,literature-fiction
799,Holy Ghost Writer,male,December 26 2007,1997,Bissau,mystery-crime
800,Patrick J. Buchanan,male,November 3 2011,1992,Indonesia,politics$history
801,Sarah Ahiers,male,July 15 2010,1972,England,young-adult$fantasy
802,Laurie Lee,male,December 12 2017,1971,Laos,biographies-memoirs$poetry$literature-fiction
803,Young-Ha Kim,male,September 13 2014,1987,Norway,fiction$contemporary
804,Rene Folsom,female,January 20 2017,1988,Andorra,romance$paranormal
805,Koethi Zan,female,November 18 2013,1983,Burundi,crime
806,J.A. London,female,September 18 2016,1966,Lebanon,young-adult
807,Sean Hayden,male,March 15 2008,1951,Trinidad,horror$science-fiction-fantasy
808,Sandrine Gasq-Dion,male,August 2 2011,1953,Chile,gay-male-romances
809,Jay Crownover,female,January 22 2019,1995,Italy,romance
810,Susan Sofayov,male,August 19 2013,1978,Argentina,contemporary
811,Ellen Wittlinger,female,May 3 2014,1963,Taiwan,young-adult
812,Zadie Smith,female,April 18 2013,1962,Niger,fiction$essays
813,Shannon Delany,female,July 13 2019,1950,Cameroon,young-adult
814,Stephanie Perkins,male,July 6 2014,1965,Korea,young-adult
815,Eugene B. Sledge,male,October 28 2016,1962,New Zealand,nonfiction$history$biography
816,Victoria Dougherty,female,August 16 2019,1954,Solomon,thriller
817,John Simpson,male,February 21 2014,1985,Nicaragua,gay-lesbian$romance
818,Wendy Higgins,female,June 21 2013,1951,Suriname,young-adult
819,Lloyd Alexander,male,May 7 2010,1958,Kazakhstan,children-s$science-fiction
820,Summer Devon,female,May 18 2017,1960,Norway,romance
821,James Hogg,male,November 7 2009,1965,Austria,historical-fiction$poetry$short-stories
822,Lisa Mantchev,female,July 10 2014,1959,Togo,young-adult
823,Miriam Forster,female,May 11 2010,1976,Botswana,young-adult
824,Beth Flynn,female,August 9 2019,1989,Congo,romance
825,John Grisham,male,April 6 2013,1991,USA,thriller
826,Allyson Lindt,female,June 20 2007,1975,Thailand,romance
827,Mark Z. Danielewski,male,May 4 2012,1968,St Lucia,literature-fiction$thriller
828,John A.   Saunders,male,December 27 2018,1973,Chile,mystery
829,Nicole  Castle,female,September 24 2017,1970,New Zealand,romance$gay-and-lesbian
830,Hiromu Arakawa,female,April 25 2015,1962,Tunisia,manga$fantasy$contemporary
831,Isabel Allende,female,March 16 2009,1972,Argentina,literature-fiction$biographies-memoirs
832,Andrew  Smith,male,August 28 2012,1975,Gambia,young-adult
833,Z.A. Maxfield,male,December 26 2015,1977,Bhutan,gay-and-lesbian$romance
834,Margaret Mallory,female,May 3 2007,1964,Iceland,romance
835,Suzanne Wright,female,June 9 2016,1962,Portugal,romance
836,Chris Weitz,male,November 24 2009,1968,Mongolia,young-adult
837,Kate L. Mary,male,March 14 2012,1967,Malaysia,science-fiction
838,Michelle K. Pickett,female,October 10 2012,1954,Moldova,young-adult
839,Adrian Mendoza,male,November 5 2018,1994,Belarus,science-fiction
840,Greta Burroughs,female,August 22 2017,1982,Armenia,young-adult
841,Janet Chapman,female,August 23 2012,1995,Indonesia,romance$fantasy
842,Cora Carmack,female,November 8 2013,1973,Uzbekistan,romance
843,Michael  Barnett,male,February 27 2013,1993,Nepal,literature-fiction
844,Gary D. Schmidt,male,February 28 2017,1972,Belgium,children-s-books$literature-fiction
845,Michael James Gallagher,male,September 12 2014,1950,United Kingdom,fiction
846,Patrick Ness,male,May 19 2009,1960,East Timor,young-adult
847,Winston Graham,male,August 11 2013,1976,Holland,literature-fiction
848,Amy A. Bartol,female,March 26 2017,1985,Tobago,romance
849,Betsy Cornwell,female,March 4 2009,1967,Zimbabwe,literature-fiction
850,James L. Rubart,male,April 26 2009,1957,France,contemporary
851,John Green,male,November 5 2012,1962,San Marino,literature-fiction
852,Tiffany Clare,female,March 2 2008,1984,Cuba,romance
853,Christopher  Rice,male,December 22 2016,1972,Guinea,thrillers
854,Polly Horvath,female,September 27 2019,1958,Mauritius,children-s-books
855,Mary Karr,female,August 6 2014,1995,Malawi,poetry$biographies-memoirs
856,Brad Meltzer,male,May 10 2015,1971,Korea,mystery-thrillers
857,Martin Adil-Smith,male,June 20 2016,1988,Mozambique,fantasy
858,Gina L. Maxwell,female,February 24 2007,1967,Great Britain,romance
859,Danielle   Davis,male,October 25 2018,1970,Belize,children-s
860,Chris Cleave,male,January 25 2016,1962,Bahamas,literature-fiction
861,Nancy S.  Thompson,female,May 18 2017,1954,Welsh,mystery-thrillers
862,Laurie Notaro,male,November 19 2010,1998,Hungary,nonfiction$biographies-memoirs
863,Jerome K. Jerome,male,December 26 2009,1976,British,humor
864,Tarian P.S.,male,May 10 2014,1987,Indonesia,science-fiction
865,Olivia Cunning,female,June 17 2012,1981,Cuba,romance
866,Julie Ann Walker,female,May 21 2010,1957,Barbados,romance
867,Jennifer E. Smith,female,September 21 2009,1963,Denmark,young-adult
868,E.L. Konigsburg,female,March 2 2013,1970,Guyana,children-s-books
869,Thomas Mullen,male,January 21 2015,1992,Tuvalu,literature-fiction$historical-fiction
870,Kaitlyn Oruska,male,July 3 2017,1951,Laos,fiction$thriller
871,Julien Jamar,female,October 2 2014,1992,Angola,fantasy
872,Jenn Reese,male,October 21 2012,1997,Syria,science-fiction-fantasy$children-s
873,Emily Brightwell,female,February 24 2008,1974,Canada,mystery$historical-fiction
874,Leonard Mlodinow,male,December 25 2019,1959,Cameroon,science$children-s
875,Mary Doria Russell,female,April 3 2013,1967,Saudi Arabia,science-fiction-fantasy$literature-fiction
876,Joanna Bourne,female,May 16 2019,1990,Moldova,romance$historical-fiction
877,Cornelia Funke,female,April 17 2014,1956,Chile,science-fiction-fantasy
878,Ernst Jünger,male,January 26 2011,1968,Sierra Leone,literature-fiction$memoir
879,Robert Charles Wilson,male,January 24 2013,1952,Uganda,science-fiction
880,M. Pierce,male,December 14 2010,1997,Chad,romance
881,Martin Waddell,male,October 2 2010,1973,Kyrgyzstan,children-s
882,Nic Schuck,male,February 25 2009,1980,Ireland,fiction$travel
883,Dusti Bowling,female,April 14 2019,1950,Lithuania,children-s$young-adult
884,K.A. Tucker,female,April 22 2019,1971,Georgia,contemporary-romance
885,Anthony Burgess,male,July 12 2013,1997,Belize,nonfiction$literature-fiction
886,Jocelyn Davies,female,September 23 2016,1966,Syria,young-adult
887,Abraham   Verghese,male,April 2 2014,1960,Slovakia,literature-fiction
888,George Lucas,male,August 25 2015,1956,St Kitts,fantasy$adventure$science-fiction
889,Julie   Johnson,female,August 9 2015,1956,Brunei,romance
890,Maki Minami,female,May 22 2011,1955,Brazil,comics-graphic-novels
891,Sarah Glenn Marsh,female,September 23 2011,1989,Barbados,young-adult
892,Robert K. Ressler,male,January 11 2016,1952,Angola,non-fiction$psychology$crime
893,David Gilbert,male,July 24 2009,1959,Malta,contemporary
894,John M. McIlveen,male,February 21 2013,1995,Portugal,fiction
895,Toni Blake,female,September 16 2010,1954,Nigeria,romance
896,Kate A. Boorman,male,April 21 2015,1973,Tuvalu,young-adult$fantasy
897,Kid Boise,male,May 12 2008,1971,Oman,fiction
898,Sarah M. Ross,female,June 10 2019,1973,Taiwan,young-adult
899,Matthew Plourde,male,October 9 2011,1996,England,science-fiction-fantasy
900,J.L. Paul,male,March 20 2018,1997,Panama,romance$young-adult
901,LeighAnn Kopans,female,May 3 2009,1957,Uruguay,young-adult
902,Ava March,female,July 27 2017,1967,Moldova,romance
903,Aly Martinez,female,July 23 2014,1967,Japan,contemporary$romance
904,Melina Marchetta,female,January 10 2018,1952,Mexico,literature-fiction$science-fiction-fantasy
905,Maj Sjöwall,male,February 1 2008,1967,Liechtenstein,mystery-thrillers
906,Emlyn Chand,male,June 4 2015,1979,Slovenia,romance
907,Danielle Vega,male,November 15 2007,1978,Russia,horror
908,Dorothy L. Sayers,female,February 7 2007,1966,Pakistan,mystery$poetry
909,Church of England,male,August 8 2017,1984,San Marino,religion
910,Hilary Mantel,female,May 5 2011,1998,Cameroon,literature-fiction$historical-fiction
911,Chuck Klosterman,male,November 24 2007,1952,Luxembourg,nonfiction
912,Jhumpa Lahiri,female,April 12 2015,1966,Bulgaria,literature-fiction
913,Louis Sachar,male,November 9 2019,1976,Cyprus,children-s-books$literature-fiction
914,Ann Hite,female,January 16 2019,1973,Bosnia,literature-fiction$historical-fiction
915,Alison Bechdel,female,October 10 2015,1973,Cuba,comics-graphic-novels
916,Jane Smiley,female,December 26 2008,1954,Jamaica,literature-fiction$short-stories
917,Italo Calvino,male,November 16 2018,1962,Algeria,literature-fiction$biographies-memoirs
918,M.J. Haag,female,May 7 2011,1959,Bangladesh,fantasy
919,Nancy Farmer,female,July 18 2016,1957,Holland,science-fiction-fantasy$young-adult
920,Jodi Meadows,male,November 20 2017,1964,Scottish,young-adult$science-fiction-fantasy
921,Paige P. Horne,female,September 13 2018,1950,Iraq,contemporary
922,Laura Lane McNeal,female,April 4 2015,1996,Grenadines,fiction
923,Shannon A. Thompson,female,October 11 2016,1995,Switzerland,young-adult
924,Margaret Hodges,female,August 4 2010,1992,Mali,children-s
925,A.A. Milne,male,July 25 2009,1992,Ethiopia,children-s-books$poetry$literature-fiction
926,Margaret Mitchell,female,January 11 2007,1971,Singapore,romance$history$fiction
927,Jenna Black,female,December 28 2016,1987,Somalia,science-fiction-fantasy
928,Eric    Weiner,male,December 26 2018,1986,Togo,travel
929,Gene Zion,male,February 1 2016,1951,St Kitts,children-s-books
930,Jon Messenger,male,September 13 2014,1960,Suriname,science-fiction
931,Lyndsay Ely,male,June 26 2012,1952,Azerbaijan,young-adult
932,Jonathan Evison,male,December 27 2015,1987,Panama,literature-fiction
933,Erin Morgenstern,female,January 2 2015,1980,Sierra Leone,literature-fiction
934,Jennifer Ashley,female,October 14 2008,1995,India,romance
935,Marius Gabriel,male,April 23 2008,1980,Palau,historical-fiction
936,Nina G. Jones,female,November 19 2014,1952,Liberia,erotica$mystery
937,Sinclair Lewis,male,December 2 2014,1979,Burkina,fiction
938,Richard K. Morgan,male,February 18 2010,1983,Ivory Coast,science-fiction
939,Dennis Lehane,male,April 27 2013,1973,Iran,mystery-thrillers
940,Sarah Crossan,female,May 12 2019,1969,Georgia,literature-fiction
941,Richard Dreyfuss,male,July 25 2013,1964,Israel,literature-fiction
942,Elizabeth Gaskell,female,August 13 2008,1990,Montenegro,fiction$biography
943,Tui T. Sutherland,male,June 13 2009,1953,Brazil,young-adult$science-fiction-fantasy
944,Sharon Cameron,female,January 23 2013,1971,Mali,historical-fiction$young-adult
945,Erin McCarthy,female,May 20 2015,1958,Bulgaria,romance$new-adult
946,Joyce Shor Johnson,male,October 27 2016,1958,Somalia,children-s
947,Larry Correia,male,July 9 2014,1951,Barbados,science-fiction-fantasy$horror
948,Kody Keplinger,male,March 14 2017,1976,Malawi,young-adult$romance
949,J. Fally,female,October 2 2014,1966,Guatemala,gay-and-lesbian$romance
950,John Ashbery,male,December 9 2012,1963,Panama,poetry
951,Jillian Larkin,female,December 13 2014,1981,Australia,historical-fiction$young-adult
952,J.L. Bryan,male,August 14 2017,1951,Trinidad,horror
953,Rachel Joyce,female,June 20 2018,1981,Barbados,literature-fiction
954,Frances Hodgson Burnett,female,July 8 2011,1995,Trinidad,children-s-books$literature-fiction
955,Nick Hornby,male,February 11 2016,1986,Scottish,literature-fiction$entertainment
956,William Hope Hodgson,male,July 23 2016,1993,Sudan,horror$weird-fiction$fantasy
957,Alexa Snow,female,August 6 2007,1975,Nauru,gay-lesbian
958,Francette Phal,female,April 14 2014,1963,Gabon,contemporary$romance
959,Cassie Alexander,female,March 18 2012,1966,Sierra Leone,paranormal
960,Harold Robbins,male,February 6 2011,1986,Pakistan,literature-fiction
961,Saya Lopez Ortega,male,June 25 2018,1971,Panama,contemporary
962,Hannah Hurnard,female,March 8 2009,1970,Papua,christian$religion
963,Sergio de la Pava,male,August 16 2007,1956,Poland,literature-fiction
964,Becca Fitzpatrick,female,February 8 2016,1967,Bahamas,young-adult
965,Kate Williams,female,July 24 2013,1970,Bosnia,history$historical-fiction
966,Yossi Klein Halevi,male,November 4 2017,1983,Morocco,non-fiction
967,Vanessa Waltz,female,October 20 2007,1956,Slovakia,romance
968,K.L. Going,female,February 24 2017,1991,Angola,young-adult
969,L. Sprague de Camp,male,January 26 2018,1989,Denmark,science-fiction-fantasy
970,Francine Rivers,female,August 8 2008,1959,Peru,romance
971,Walter M. Miller Jr.,male,February 7 2018,1951,Kyrgyzstan,science-fiction
972,Martine Leavitt,female,April 1 2009,1982,Gabon,children-s-books$science-fiction-fantasy
973,A.N. Roquelaure,male,November 5 2014,1963,Grenadines,romance
974,Edward Lee,male,February 24 2011,1969,Zimbabwe,horror$literature-fiction
975,Marissa Ames,female,November 19 2016,1994,Tunisia,fantasy
976,Michele Jaffe,male,March 8 2016,1983,Jamaica,young-adult
977,Sharon Bala,female,April 19 2018,1983,Lebanon,fiction
978,Marie Lu,male,November 12 2015,1969,Canada,young-adult$science-fiction-fantasy
979,Tom Rath,male,October 5 2008,1991,Turkey,non-fiction
980,Dante Alighieri,male,December 4 2012,1971,Jamaica,poetry$religion$philosophy
981,Samuel Beckett,male,June 13 2012,1980,Pakistan,literature-fiction$theatre
982,Edith Hamilton,female,May 5 2014,1976,Venezuela,nonfiction
983,Ella Frank,male,September 1 2015,1976,Paraguay,romance
984,Mackenzie Crowne,male,March 15 2011,1964,Cyprus,romance
985,Jean M. Auel,female,May 2 2014,1982,Kyrgyzstan,literature-fiction
986,Rob Colton,male,July 24 2019,1955,Algeria,gay-and-lesbian
987,Heather Demetrios,female,October 14 2008,1988,Albania,young-adult
988,Albert Cossery,male,February 26 2009,1977,Djibouti,fiction
989,Lili St. Germain,female,August 20 2016,1975,Canada,contemporary$thriller
990,Fred Gipson,male,January 17 2017,1981,Estonia,fiction$historical-fiction$classics
991,J.G. Farrell,male,May 21 2018,1987,Egypt,historical-fiction
992,The Church of Jesus Christ of Latter-day Saints,male,November 13 2012,1967,Holland,religion$christian
993,Audrey Carlan,female,June 6 2012,1980,Ireland,contemporary
994,Deeanne Gist,female,March 20 2011,1976,Somalia,historical-fiction
995,Richard Stevenson,male,October 6 2008,1960,Somalia,mystery-thrillers$gay-lesbian
996,Dahlia West,male,October 2 2007,1950,Kazakhstan,romance
997,Adolf Hitler,male,October 19 2018,1952,Mongolia,biographies-memoirs$politics$history
998,Ian McGuire,male,April 4 2019,1976,Luxembourg,fiction$historical-fiction
999,Margaret George,female,October 21 2007,1982,Turkmenistan,historical-fiction
1000,Livia Blackburne,female,October 27 2008,1951,Bissau,young-adult
1001,Stephen Paul Register,male,December 9 2008,1965,Nauru,biographies-memoirs
1002,Clemence McLaren,female,November 21 2019,1972,Panama,young-adult$children-s
1003,Rhys Ford,female,October 28 2013,1986,Uruguay,gay-lesbian
1004,Sally  Thorne,female,March 17 2009,1954,Germany,romance
1005,Brad Boney,male,March 25 2009,1961,Tuvalu,gay-and-lesbian
1006,Kate Brian,male,December 22 2018,1958,Bahrain,young-adult
1007,Willow Winters,female,October 2 2018,1999,Somalia,romance
1008,Jennifer Love Hewitt,female,April 23 2008,1965,Bahamas,comics-graphic-novels$nonfiction
1009,Erica Ridley,female,March 17 2014,1966,Serbia,romance
1010,Ken Dickson,male,January 6 2011,1998,St Kitts,memoir$non-fiction
1011,Randy Shilts,male,April 12 2016,1963,Serbia,nonfiction$gay-lesbian
1012,Deborah Diesen,female,April 3 2015,1964,Switzerland,children-s
1013,Jonathan Stroud,male,July 22 2013,1964,Algeria,science-fiction-fantasy
1014,Mya Robarts,female,December 2 2014,1975,Sierra Leone,young-adult
1015,Marshall Thornton,male,March 25 2007,1954,Ecuador,mystery-thrillers$gay-lesbian
1016,Angie Fox,female,May 6 2014,1954,Gabon,mystery$romance
1017,Marc Brown,male,February 1 2018,1954,Kuwait,children-s
1018,Ryan Michele,female,October 1 2012,1981,Tonga,romance
1019,Angie Thomas,female,April 25 2007,1958,Belize,young-adult
1020,Tiffany Truitt,female,November 17 2008,1971,Sweden,young-adult
1021,Cassandra Clare,female,April 6 2010,1958,Micronesia,science-fiction-fantasy
1022,Patricia Burroughs,female,May 26 2012,1955,Bhutan,fantasy
1023,J.D. Robb,male,December 19 2015,1952,Cuba,suspense$science-fiction
1024,Patricia MacLachlan,female,September 17 2016,1997,Gabon,children-s-books
1025,Albert Camus,male,March 25 2018,1983,Malta,fiction$philosophy
1026,Sara  Humphreys,female,October 15 2015,1950,Canada,romance
1027,Daniel Quinn,male,April 11 2007,1991,Australia,literature-fiction$nonfiction
1028,J. Elizabeth Hill,female,August 12 2007,1960,Tunisia,fantasy
1029,Anthony Lavisher,male,September 13 2012,1950,Scotland,science-fiction-fantasy
1030,Sandy Williams,female,December 5 2010,1963,Namibia,science-fiction-fantasy
1031,George Selden,male,July 10 2011,1979,Nauru,children-s-books
1032,Delilah S. Dawson,female,April 13 2017,1990,Chile,fantasy
1033,Dianne Sylvan,female,February 17 2016,1951,Solomon,science-fiction-fantasy$religion-spirituality
1034,Lenore Hart,male,January 16 2016,1995,Herzegovina,historical-fiction$children-s-books
1035,Sergei Lukyanenko,male,February 16 2012,1995,Egypt,science-fiction$fantasy
1036,W. Chan Kim,male,June 8 2018,1973,Bissau,nonfiction$business
1037,Laura Thalassa,female,June 22 2013,1974,Suriname,paranormal
1038,Shay Savage,female,November 27 2010,1977,Cyprus,fiction
1039,Vanessa A. Ryan,female,March 21 2012,1972,Serbia,fiction$paranormal
1040,Jonathan Cahn,male,June 3 2009,1950,Canada,christian
1041,Veronica Roth,female,March 18 2016,1996,Antigua,young-adult$science-fiction
1042,Ian D.G. Sandusky,male,January 5 2007,1999,Cambodia,horror$mystery-thrillers
1043,K.M. Golland,female,October 14 2013,1971,Montenegro,romance
1044,Daisy Goodwin,female,December 24 2015,1975,Guinea,historical-fiction
1045,Marjorie M. Liu,female,October 9 2013,1998,Gabon,comic-books
1046,E.M. Havens,male,March 3 2011,1979,Japan,fantasy
1047,Amanda Lance,female,August 21 2014,1974,America,young-adult
1048,Rainer Maria Rilke,male,June 24 2012,1951,Liechtenstein,poetry$literature-fiction
1049,David Ebershoff,male,July 5 2009,1984,Mexico,literature-fiction
1050,Mishell Baker,male,June 6 2012,1998,Vatican,fantasy
1051,Kerrelyn Sparks,female,November 18 2009,1973,Macedonia,romance
1052,Paullina Simons,female,January 21 2016,1999,Palau,historical-fiction
1053,Iain Parke,male,March 13 2018,1971,Bulgaria,crime
1054,Leah Thomas,female,August 1 2018,1981,Netherlands,young-adult$science-fiction
1055,Eliezer Yudkowsky,male,March 20 2017,1976,Turkey,science
1056,Carrie Butler,female,October 13 2009,1991,Cameroon,romance
1057,Melanie Dickerson,female,April 5 2012,1977,Morocco,historical-fiction
1058,Lee Child,male,June 19 2018,1983,Guatemala,literature-fiction
1059,Mao Zedong,male,August 22 2018,1968,Uzbekistan,politics$philosophy$poetry
1060,Akira Toriyama,male,April 6 2013,1957,Gambia,manga$comics-graphic-novels
1061,Margaret Stohl,female,January 23 2009,1970,Uruguay,young-adult
1062,L.H. Cosway,male,November 26 2010,1995,China,contemporary-romance$urban-fantasy
1063,Karen  Prince,female,October 23 2018,1983,Croatia,non-fiction
1064,Al Ries,male,May 14 2008,1963,Fiji,business
1065,Loretta Lynn,male,September 21 2014,1969,Comoros,memoir$music
1066,Dana Gynther,female,September 23 2018,1964,Hungary,historical-fiction$literature-fiction
1067,Jeff VanderMeer,male,August 22 2019,1991,Palau,literature-fiction$science-fiction
1068,Anya Seton,female,March 3 2008,1978,Norway,literature-fiction
1069,Paul Van Der Merwe,male,December 22 2008,1951,Liberia,self-help$psychology
1070,Gretchen McNeil,female,December 27 2018,1999,Oman,young-adult
1071,Tara Sue Me,female,December 12 2007,1989,Azerbaijan,romance
1072,Ariana Franklin,female,July 24 2010,1977,Kosovo,historical-fiction$mystery-thrillers
1073,T. Michael Martin,male,May 13 2019,1988,Vietnam,young-adult
1074,Chris     Murray,male,January 11 2007,1982,Cuba,business
1075,Laura Elizabeth Woollett,female,May 21 2016,1963,Kuwait,contemporary$fiction
1076,Diane Setterfield,female,June 21 2013,1959,Gambia,fiction$mystery
1077,Christina Mercer,female,April 7 2016,1963,Lithuania,young-adult
1078,Joel Cornah,male,October 21 2016,1951,Romania,fantasy
1079,Donna Ball,male,January 27 2008,1967,Welsh,mystery$fiction
1080,Elizabeth C. Bunce,male,July 4 2012,1986,America,science-fiction-fantasy$young-adult
1081,Brandon Sanderson,male,September 2 2007,1970,Mexico,science-fiction-fantasy
1082,Simone de Beauvoir,female,June 11 2011,1972,Finland,literature-fiction$nonfiction$politics
1083,Jean Anouilh,male,February 24 2009,1968,Japan,theatre
1084,Elizabeth Isaacs,female,August 23 2016,1980,Kazakhstan,romance
1085,Michael Lowenthal,male,March 10 2013,1988,Scotland,gay-lesbian$historical-fiction
1086,Marta Acosta,female,October 5 2017,1985,Liberia,fiction
1087,David Goodwillie,male,May 5 2007,1955,Ghana,literature-fiction$biographies-memoirs
1088,Jessica Verdi,female,February 12 2012,1987,Poland,young-adult
1089,Bernadette Marie,male,June 13 2013,1978,Kenya,romance
1090,Steven D. Levitt,male,September 22 2008,1998,Argentina,nonfiction
1091,Louisa Luna,female,February 26 2018,1967,Angola,literature-fiction$mystery-thrillers
1092,Leah Clifford,female,March 8 2014,1953,San Marino,young-adult
1093,Alyssa Cole,female,July 7 2016,1958,Gambia,romance
1094,M.T. Magee,male,September 2 2009,1950,Belize,fantasy
1095,Jasinda Wilder,female,December 8 2012,1995,Jordan,romance
1096,Jayne Ann Krentz,female,July 17 2019,1969,Mongolia,romance
1097,Charlotte Huang,male,July 19 2009,1966,El Salvador,young-adult
1098,Gabrielle Zevin,female,October 4 2009,1992,United States,literature-fiction
1099,Mark Walden,male,March 22 2017,1988,Grenadines,literature-fiction
1100,Michele Fogal,male,December 27 2013,1958,Mauritius,romance
1101,Bel Kaufman,female,July 3 2014,1998,Kenya,literature-fiction
1102,Jane Harvey-Berrick,male,June 22 2012,1951,Ivory Coast,romance$sports
1103,Jack Weatherford,male,September 7 2007,1984,Brazil,history$social-sciences
1104,Dixie Lynn Dwyer,female,February 28 2016,1959,England,romance
1105,Sally Hepworth,female,March 24 2017,1964,Zimbabwe,fiction
1106,Kirby McCauley,male,August 16 2009,1952,Nauru,editor
1107,Patricia Bracewell,female,March 11 2014,1973,Scotland,historical-fiction
1108,Warsan Shire,female,January 23 2008,1989,Macedonia,poetry
1109,Chris Crutcher,male,March 18 2014,1956,British,literature-fiction
1110,J. Saman,female,July 24 2011,1952,Slovakia,contemporary
1111,Melissa Foster,female,February 2 2015,1952,Ghana,romance$fiction
1112,R.K. Narayan,male,January 11 2007,1969,Montenegro,fiction$memoir
1113,Rhiannon Thomas,female,October 25 2016,1963,Kosovo,young-adult
1114,Red Tash,male,May 26 2012,1973,Belarus,science-fiction-fantasy
1115,Harry Harrison,male,November 14 2017,1982,Brunei,science-fiction$fantasy
1116,Karina Halle,female,March 27 2010,1999,Brunei,romance
1117,Richard Peck,male,June 26 2007,1952,Eritrea,children-s-books$literature-fiction$young-adult
1118,Joseph Nicolosi,male,September 14 2019,1974,Sweden,psychology
1119,Talia Jager,male,March 11 2019,1989,Germany,young-adult
1120,Michelle Hodkin,female,August 28 2017,1964,Spain,young-adult
1121,Carol S. Dweck,female,June 26 2010,1984,Scotland,psychology$health-mind-body
1122,Mira Grant,female,October 23 2013,1954,Bolivia,horror
1123,Harper Lee,female,January 3 2012,1974,Swaziland,literature-fiction
1124,Donald Ray Pollock,male,May 3 2016,1996,Luxembourg,short-stories$fiction
1125,Thierry Jonquet,male,July 7 2009,1997,Canada,literature-fiction$mystery-thrillers
1126,Charles Frazier,male,March 10 2014,1984,Colombia,literature-fiction$historical-fiction
1127,Malcolm Bradbury,male,September 18 2016,1998,Hungary,literature-fiction
1128,Michael R. Fletcher,male,January 8 2015,1983,Liberia,science-fiction
1129,William Golding,male,January 15 2018,1969,United States,literature-fiction
1130,Kate Constable,female,September 28 2019,1992,Romania,science-fiction-fantasy
1131,Elle Jacklee,male,March 13 2017,1954,Cyprus,fantasy
1132,Sienna Mynx,female,September 12 2009,1983,America,romance
1133,Andrea  Johnston,female,March 28 2019,1997,Thailand,contemporary
1134,Paul Ekman,male,August 15 2008,1972,British,science$nonfiction
1135,Lance Carbuncle,male,June 14 2008,1985,Guyana,literature-fiction$humor
1136,Carl Sagan,male,December 26 2018,1971,Venezuela,science$nonfiction
1137,Kaye Dacus,female,May 22 2009,1989,Sweden,romance
1138,Gregory Maguire,male,March 18 2008,1961,St Kitts,science-fiction-fantasy$children-s-books
1139,Nina-Marie Gardner,female,December 13 2011,1991,Cape Verde,literature-fiction
1140,Katie Hamstead,female,March 11 2018,1993,Dominica,romance
1141,Cameron Dane,male,September 10 2015,1961,Afghanistan,romance$gay-lesbian
1142,Wynne Channing,female,September 25 2015,1967,America,young-adult
1143,Charles  James,male,June 2 2014,1968,Tanzania,crime
1144,Jorge Luis Borges,male,March 25 2011,1989,Haiti,fiction$short-stories$poetry
1145,Siobhan Dowd,female,June 26 2015,1989,Kuwait,young-adult
1146,Mary Robinette Kowal,female,September 3 2016,1997,Malaysia,science-fiction-fantasy
1147,Suzanne  Sutherland,male,August 22 2018,1969,Tajikistan,young-adult
1148,Dani Alexander,male,December 25 2013,1955,China,gay-lesbian
1149,Rex Stout,male,August 22 2007,1960,Portugal,mystery-thrillers
1150,Hubert Selby Jr.,male,April 15 2018,1980,New Zealand,literature-fiction$crime
1151,Thomas J. Stanley,male,July 16 2019,1988,Maldives,non-fiction$business
1152,Michael Crichton,male,November 6 2007,1968,United Kingdom,literature-fiction$science-fiction-fantasy
1153,Taylor V. Donovan,male,December 9 2017,1966,Kyrgyzstan,gay-romance-and-suspense
1154,James Wright,male,June 15 2019,1965,South Sudan,poetry
1155,Yuu Moegi,male,March 13 2018,1958,Sudan,manga
1156,Kai Meyer,male,May 16 2017,1999,New Zealand,children-s-books$young-adult
1157,Leah Bobet,male,December 19 2018,1955,Congo,young-adult
1158,Stuart MacBride,female,February 7 2015,1976,Somalia,mystery-thrillers
